"species","decimalLongitude","decimalLatitude"
"Didelphis virginiana",-85.30657,35.00302
"Didelphis virginiana",-82.325,29.65139
"Didelphis virginiana",-90.0669176,30.4752024
"Didelphis virginiana",-88.27,40.113
"Didelphis virginiana",-97.424963,20.172625
"Didelphis virginiana",-87.7767529,42.1267791
"Didelphis virginiana",-100.513901,20.59557
"Didelphis virginiana",-93.61994,42.034708
"Didelphis virginiana",-89.2348987,31.3671763
"Didelphis virginiana",-97.154314,29.345
"Didelphis virginiana",-122.25943,37.87221
"Didelphis virginiana",-99.239998,21.004999
"Didelphis virginiana",-93.671111,16.958889
"Didelphis virginiana",-86.011963,38.84568
"Didelphis virginiana",-75.183333,44.9
"Didelphis virginiana",-89.003501,35.955408
"Didelphis virginiana",-122.2026375,37.8871045
"Didelphis virginiana",-92.271699,14.903885
"Didelphis virginiana",-90.1482,18.5469
"Didelphis virginiana",-99.02032,24.60041
"Didelphis virginiana",-87.8136492,41.8793838
"Didelphis virginiana",-122.4895696,37.6287699
"Didelphis virginiana",-85.16667,30.79167
"Didelphis virginiana",-84.4472931,42.7252499
"Didelphis virginiana",-104.464444,21.424444
"Didelphis virginiana",-90.022358,35.360239
"Didelphis virginiana",-83.2830581,42.2505557
"Didelphis virginiana",-99.319443,19.103333
"Didelphis virginiana",-96.17989,38.41448
"Didelphis virginiana",-99.764442,20.039168
"Didelphis virginiana",-97.446723,35.179196
"Didelphis virginiana",-99.180275,19.32361
"Didelphis virginiana",-105.22598,21.16573
"Didelphis virginiana",-87.767216,41.902695
"Didelphis virginiana",-98.978615,19.076111
"Didelphis virginiana",-91.0419439,30.8481883
"Didelphis virginiana",-99.335364,34.786762
"Didelphis virginiana",-97.441294,35.285089
"Didelphis virginiana",-119.706389,34.417222
"Didelphis virginiana",-104.470425,23.539272
"Didelphis virginiana",-118.21,34.14
"Didelphis virginiana",-79.07165,43.08119
"Didelphis virginiana",-94.872,40.346
"Didelphis virginiana",-88.716667,14.213229
"Didelphis virginiana",-105.376833,22.4645
"Didelphis virginiana",-92.148055,15.376667
"Didelphis virginiana",-102.34738,17.981719
"Didelphis virginiana",-98.5259195,18.6014918
"Didelphis virginiana",-95.46765,40.6044
"Didelphis virginiana",-88.856934,39.893566
"Didelphis virginiana",-98.614174,19.594447
"Didelphis virginiana",-100.01472,16.97247
"Didelphis virginiana",-94.209722,16.370556
"Didelphis virginiana",-64.838665,46.624888
"Didelphis virginiana",-95.66122,18.619
"Didelphis virginiana",-97.99449,23.82793
"Didelphis virginiana",-100.740505,31.290677
"Didelphis virginiana",-78.9591339,35.1481836
"Didelphis virginiana",-89.699573,38.123074
"Didelphis virginiana",-98.648,30.236
"Didelphis virginiana",-96.341667,17.660278
"Didelphis virginiana",-88.019722,44.516944
"Didelphis virginiana",-104.655,24.025
"Didelphis virginiana",-92.143056,15.433333
"Didelphis virginiana",-96.457474,15.965585
"Didelphis virginiana",-99.383888,18.793056
"Didelphis virginiana",-85.099201,35.709983
"Didelphis virginiana",-94.623,31.67
"Didelphis virginiana",-92.247778,14.89546
"Didelphis virginiana",-92.6444,41.2964
"Didelphis virginiana",-102.632983,38.08722
"Didelphis virginiana",-90.135842,18.378457
"Didelphis virginiana",-96.205435,29.880976
"Didelphis virginiana",-79.95248,43.07211
"Didelphis virginiana",-97.5350707,20.8980553
"Didelphis virginiana",-100.534866,31.492724
"Didelphis virginiana",-100.45199,31.809489
"Didelphis virginiana",-94.415497,39.091931
"Didelphis virginiana",-80.791717,41.877783
"Didelphis virginiana",-88.135892,42.16345
"Didelphis virginiana",-100.283333,25.624
"Didelphis virginiana",-92.7987,38.4311
"Didelphis virginiana",-90.9579392,30.0682135
"Didelphis virginiana",-103.9955,23.745833
"Didelphis virginiana",-93.222288,45.107805
"Didelphis virginiana",-92.8969927,31.1431744
"Didelphis virginiana",-99.768864,32.439647
"Didelphis virginiana",-94.736152,40.168082
"Didelphis virginiana",-98.868333,19.695
"Didelphis virginiana",-76.490741,42.465699
"Didelphis virginiana",-86.8484249,21.1519597
"Didelphis virginiana",-100.517172,31.507967
"Didelphis virginiana",-90.7709335,29.7692238
"Didelphis virginiana",-95.98418,29.540792
"Didelphis virginiana",-98.822778,19.476944
"Didelphis virginiana",-73.360973,41.160095
"Didelphis virginiana",-102.501,18.020181
"Didelphis virginiana",-104.610167,24.601
"Didelphis virginiana",-91.2119466,30.3512037
"Didelphis virginiana",-103.839447,21.901388
"Didelphis virginiana",-121.2770938,38.6905703
"Didelphis virginiana",-73.70222,42.59083
"Didelphis virginiana",-90.7204587,19.3098136
"Didelphis virginiana",-100.05278,18.895556
"Didelphis virginiana",-85.5491042,12.5463724
"Didelphis virginiana",-99.612,21.43
"Didelphis virginiana",-109.00972,27.044776
"Didelphis virginiana",-86.1224423,42.5566498
"Didelphis virginiana",-79.08175,43.25067
"Didelphis virginiana",-122.231532,37.727802
"Didelphis virginiana",-99.964587,31.097163
"Didelphis virginiana",-102.815865,22.64907
"Didelphis virginiana",-96.334407,30.627977
"Didelphis virginiana",-117.826689,33.888805
"Didelphis virginiana",-71.425,42.2
"Didelphis virginiana",-89.7078636,46.3679187
"Didelphis virginiana",-97.60863,38.8137
"Didelphis virginiana",-121.5683848,37.6371752
"Didelphis virginiana",-99.613379,28.345548
"Didelphis virginiana",-102.482136,32.930186
"Didelphis virginiana",-98.380948,26.183658
"Didelphis virginiana",-99.205833,18.833056
"Didelphis virginiana",-84.6833,15.8833
"Didelphis virginiana",-93.62272,42.03091
"Didelphis virginiana",-105.2317101,22.0551981
"Didelphis virginiana",-119.731111,34.431944
"Didelphis virginiana",-99.173614,19.320833
"Didelphis virginiana",-102.119286,18.856656
"Didelphis virginiana",-101.7146168,22.6279649
"Didelphis virginiana",-91.731111,16.131111
"Didelphis virginiana",-101.8024774,39.7884285
"Didelphis virginiana",-97.666655,20.505956
"Didelphis virginiana",-91.6499587,30.5961948
"Didelphis virginiana",-99.355553,19.373056
"Didelphis virginiana",-88.84093,35.634556
"Didelphis virginiana",-92.64,16.74
"Didelphis virginiana",-83.0032421,35.1077828
"Didelphis virginiana",-88.89889,40.56389
"Didelphis virginiana",-100.511774,31.528173
"Didelphis virginiana",-92.1000241,43.666628
"Didelphis virginiana",-122.6752,45.413
"Didelphis virginiana",-75.36,39.97
"Didelphis virginiana",-96.01751,29.903898
"Didelphis virginiana",-98.931549,37.959164
"Didelphis virginiana",-99.36689,38.8588
"Didelphis virginiana",-88.570958,36.250581
"Didelphis virginiana",-97.406024,35.217794
"Didelphis virginiana",-88.339683,35.139173
"Didelphis virginiana",-87.656525,41.925339
"Didelphis virginiana",-100.449074,37.285511
"Didelphis virginiana",-84.5344957,42.7305497
"Didelphis virginiana",-104.9334,21.967133
"Didelphis virginiana",-92.1559689,29.7842199
"Didelphis virginiana",-97.052,28.042
"Didelphis virginiana",-84.4247324,42.7368398
"Didelphis virginiana",-117.4,33.95
"Didelphis virginiana",-97.212943,32.62983
"Didelphis virginiana",-96.720007,17.067802
"Didelphis virginiana",-119.718056,34.4425
"Didelphis virginiana",-95.702782,39.208767
"Didelphis virginiana",-97.929167,17.207778
"Didelphis virginiana",-94.435278,18.137778
"Didelphis virginiana",-92.03825,17.488264
"Didelphis virginiana",-92.5079785,29.9562133
"Didelphis virginiana",-119.825278,34.435833
"Didelphis virginiana",-119.723056,34.440556
"Didelphis virginiana",-98.4915,39.7849
"Didelphis virginiana",-87.427059,36.501179
"Didelphis virginiana",-99.361944,18.256389
"Didelphis virginiana",-92.2689734,30.2522043
"Didelphis virginiana",-94.33083,40.24861
"Didelphis virginiana",-97.479113,35.24796
"Didelphis virginiana",-84.2325896,44.7249338
"Didelphis virginiana",-100.666608,31.261746
"Didelphis virginiana",-104.513367,19.13245
"Didelphis virginiana",-92.536917,15.232833
"Didelphis virginiana",-90.5479337,31.6721642
"Didelphis virginiana",-91.1739458,30.3882026
"Didelphis virginiana",-103.551941,21.006666
"Didelphis virginiana",-117.250962,33.38315
"Didelphis virginiana",-112.236273,34.397805
"Didelphis virginiana",-98.004371,32.933439
"Didelphis virginiana",-99.132797,39.455299
"Didelphis virginiana",-73.4772,41.8792
"Didelphis virginiana",-100.462763,31.358227
"Didelphis virginiana",-100.139198,21.542601
"Didelphis virginiana",-89.8979116,29.8952216
"Didelphis virginiana",-85.203338,35.12274
"Didelphis virginiana",-103.2913227,22.3101931
"Didelphis virginiana",-82.280772,35.265067
"Didelphis virginiana",-96.57957,39.07404
"Didelphis virginiana",-83.79556,32.09139
"Didelphis virginiana",-97.436859,35.240009
"Didelphis virginiana",-122.3992313,45.5869483
"Didelphis virginiana",-91.749444,16.136389
"Didelphis virginiana",-122.26172,37.87148
"Didelphis virginiana",-123.9144415,45.7200129
"Didelphis virginiana",-102.708885,21.801111
"Didelphis virginiana",-91.8649624,30.0442121
"Didelphis virginiana",-86.675,35.107
"Didelphis virginiana",-94.176986,35.609861
"Didelphis virginiana",-98.923315,38.439384
"Didelphis virginiana",-88.985278,18.192222
"Didelphis virginiana",-88.99361,40.48417
"Didelphis virginiana",-95.463931,30.42009
"Didelphis virginiana",-89.171071,35.462061
"Didelphis virginiana",-96.456588,30.115558
"Didelphis virginiana",-103.836854,20.883149
"Didelphis virginiana",-96.5326452,43.536575
"Didelphis virginiana",-97.235277,35.222395
"Didelphis virginiana",-80.53,42.63
"Didelphis virginiana",-99.768878,32.439786
"Didelphis virginiana",-122.188107,38.043851
"Didelphis virginiana",-85.925604,13.0059679
"Didelphis virginiana",-91.0799436,30.4582006
"Didelphis virginiana",-118.12,33.88
"Didelphis virginiana",-122.6609088,45.6387255
"Didelphis virginiana",-96.334,30.628
"Didelphis virginiana",-95.2407902,38.975978
"Didelphis virginiana",-84.36,34.02
"Didelphis virginiana",-92.1279689,29.9682139
"Didelphis virginiana",-98.604446,38.105549
"Didelphis virginiana",-73.569305,41.805774
"Didelphis virginiana",-118.24,34.04
"Didelphis virginiana",-116.867,33.042
"Didelphis virginiana",-84.7011,45.5606
"Didelphis virginiana",-73.864573,42.21731
"Didelphis virginiana",-89.35472,36.38083
"Didelphis virginiana",-111.242317,31.402873
